feature,auc,median_good,median_bad,median_d_good_minus_bad,mean_d,iqr_d,p_d_gt_0,effect_size_cohen_d,n_pairs
neg_abs_resid_s,0.7227820579592814,-0.3537897326917374,-0.698894551350655,0.3200000000000003,4.99588919435352,0.7896942476948592,0.7689829728485964,0.4481918922879064,2173
source_is_ida,0.699033594109526,0.5945697192820985,0.1965025310630465,1.0,0.398067188219052,,0.5614358030372757,0.8910753871036303,2173
neg_moveout_abs,0.6829152945888216,-0.3439097462325824,-0.6657573134384038,0.27586416367545397,4.893837662771175,0.9000000000000021,0.708697653014266,0.4381761837687405,2173
neg_abs_resid_sp,0.6491455081175511,-0.415607898194148,-0.7207142191366547,0.2400000000000002,2.6951648619103517,0.8963724521332681,0.7031753336401289,0.20270568043510628,2173
neg_moveout_sp,0.6244044621145061,-0.41541348655031063,-0.6953891703343633,0.20000000000000068,2.656141324501307,0.9299999999999997,0.6599171652093879,0.19872121707856283,2173
ida_prob,0.590469177101126,0.24594758450984955,0.19417554140090942,-0.012134745717048645,-0.013063417065899379,0.16466552019119263,0.0708697653014266,0.22054240145724985,2173
ring_s,0.5870960491038927,0.7010869145883065,0.6047421061386933,0.030563695674232255,0.10213553315874534,0.34039348958525134,0.553612517257248,0.3200634990276105,2173
neg_abs_hist_dev,0.5711521710724579,-0.5068870000000015,-0.6433599999999978,0.08838999999999941,4.506430284399447,1.0699999999999998,0.5664979291302347,0.40036415303867207,2173
ring_sp,0.5686782549706015,0.499664818266588,0.38522786592334335,0.019019406721534127,0.07606805582862264,0.35048585242043623,0.5448688449148642,0.22680346278996474,2173
source_is_stead+ida,0.4836631385181776,0.12655315232397607,0.1592268752876208,0.0,-0.03267372296364473,,0.08605614358030372,-0.09344437821827067,2173
history_prior,0.4599531250893438,0.000887340092785379,0.05361559108549791,0.0,-0.0889136287442304,0.11525892085776257,0.18269673262770364,-0.21288356889494306,2173
source_is_stead,0.3173032673722963,0.2788771283939254,0.6442705936493327,-1.0,-0.3653934652554073,,0.1960423377818684,-0.7875803206020268,2173
fixed_score,0.2921594119691338,-0.9798575869595566,-0.5084467633120869,-0.45396205496610503,-1.381149704426187,0.6968033419368227,0.0,-0.19273376108222867,2173
cand_prob,0.2892548786735252,0.27211880683898926,0.49202901124954224,-0.20483499765396118,-0.17860876650890303,0.3220737389056012,0.16705016106764842,-0.7947028560715266,2173
stead_prob,0.2762799484601093,0.33096641302108765,0.5603823065757751,-0.08955173194408417,-0.10633646623150024,0.21373207867145538,0.04878048780487805,-0.8437392216837103,2173
