tag,f1@0.5,delta_f1@0.5,delta_f1@0.1,delta_p95,changed_rate
sp_top1_sd1_ssp0.3_l0.25,0.8678,0.001,0.0005,-0.026,0.01
sp_top1_sd1_ssp0.5_l0.25,0.8678,0.001,0.0005,-0.03,0.007
sp_top1_sd1_ssp0.7_l0.25,0.8679,0.0011,0.0006,-0.04,0.006
sp_top1_sd1_ssp1.0_l0.25,0.8679,0.0011,0.0006,-0.04,0.005
sp_top1_sd2_ssp0.3_l0.25,0.8677,0.0009,0.0004,-0.03,0.009
sp_top1_sd2_ssp0.5_l0.25,0.8679,0.0011,0.0005,-0.04,0.007
sp_top1_sd2_ssp0.7_l0.25,0.8679,0.0011,0.0006,-0.04,0.006
sp_top1_sd2_ssp1.0_l0.25,0.8679,0.0011,0.0007,-0.04,0.005
sp_top1_sd4_ssp0.3_l0.25,0.8677,0.0009,0.0005,-0.03,0.007
sp_top1_sd4_ssp0.5_l0.25,0.8679,0.0011,0.0005,-0.04,0.006
sp_top1_sd4_ssp0.7_l0.25,0.8679,0.0011,0.0005,-0.04,0.005
sp_top1_sd4_ssp1.0_l0.25,0.8678,0.001,0.0005,-0.04,0.004
sp_top1_sd6_ssp0.3_l0.25,0.8676,0.0008,0.0004,-0.03,0.006
sp_top1_sd6_ssp0.5_l0.25,0.8678,0.001,0.0005,-0.04,0.006
sp_top1_sd6_ssp0.7_l0.25,0.8679,0.0011,0.0005,-0.04,0.005
sp_top1_sd6_ssp1.0_l0.25,0.8679,0.0011,0.0006,-0.05,0.004
sp_top1_sd2.0_ssp0.5_l0.1,0.8673,0.0005,0.0004,-0.02,0.003
sp_top1_sd2.0_ssp0.5_l0.25,0.8679,0.0011,0.0005,-0.04,0.007
sp_top1_sd2.0_ssp0.5_l0.5,0.8685,0.0017,0.0009,-0.046,0.013
sp_top1_sd2.0_ssp0.5_l1.0,0.8689,0.0021,0.0013,-0.06,0.024
abs_top1_sd2_ss0.5_l0.25,0.8682,0.0014,0.0008,-0.056,0.007
abs_top1_sd2_ss0.8_l0.25,0.8683,0.0015,0.0008,-0.06,0.005
abs_top1_sd2_ss1.2_l0.25,0.8682,0.0014,0.0009,-0.06,0.004
abs_top1_sd2_ss1.5_l0.25,0.8681,0.0013,0.0008,-0.06,0.004
abs_top1_sd4_ss0.5_l0.25,0.868,0.0012,0.0007,-0.05,0.005
abs_top1_sd4_ss0.8_l0.25,0.8681,0.0013,0.0008,-0.06,0.004
abs_top1_sd4_ss1.2_l0.25,0.8681,0.0013,0.0007,-0.06,0.004
abs_top1_sd4_ss1.5_l0.25,0.8681,0.0013,0.0007,-0.07,0.004
abs_top1_sd6_ss0.5_l0.25,0.868,0.0012,0.0008,-0.05,0.005
abs_top1_sd6_ss0.8_l0.25,0.8681,0.0013,0.0009,-0.06,0.004
abs_top1_sd6_ss1.2_l0.25,0.8681,0.0013,0.0008,-0.06,0.004
abs_top1_sd6_ss1.5_l0.25,0.8681,0.0013,0.0008,-0.07,0.003
abs_top1_sd2.0_ss0.8_l0.1,0.8677,0.0009,0.0005,-0.04,0.003
abs_top1_sd2.0_ss0.8_l0.25,0.8683,0.0015,0.0008,-0.06,0.005
abs_top1_sd2.0_ss0.8_l0.5,0.8686,0.0018,0.0008,-0.07,0.009
abs_top1_sd2.0_ss0.8_l1.0,0.8692,0.0024,0.0014,-0.09,0.016
hyb_top1_ls0.1_lsp0.1,0.8681,0.0013,0.0007,-0.05,0.005
hyb_top1_ls0.1_lsp0.25,0.8682,0.0014,0.0006,-0.05,0.008
hyb_top1_ls0.1_lsp0.5,0.8687,0.0019,0.0011,-0.06,0.014
hyb_top1_ls0.25_lsp0.1,0.8684,0.0016,0.0009,-0.06,0.007
hyb_top1_ls0.25_lsp0.25,0.8686,0.0018,0.0007,-0.07,0.01
hyb_top1_ls0.25_lsp0.5,0.8689,0.0021,0.0011,-0.07,0.016
sp_all_sd2.0_ssp0.5_l1.0,0.8682,0.0014,0.0009,-0.04,0.016
abs_all,0.8685,0.0017,0.0009,-0.07,0.011
diag_shuffle_event_id,0.8674,0.0006,0.0003,-0.03,0.011
diag_shuffle_neighbor_sp,0.8672,0.0004,0.0004,-0.01,0.01
