trace_name,event_id,n_candidates,sampling_rate_hz,true_s_sample,c1_sample,c1_index,c1_fixed_score,c1_prob,c1_source,c1_resid_s,c1_resid_sp,c1_stead_prob,c1_ida_prob,c1_delta_sp,c2_sample,c2_index,c2_fixed_score,c2_prob,c2_source,c2_resid_s,c2_resid_sp,c2_stead_prob,c2_ida_prob,c2_delta_sp,margin_fixed,c1_ok,c2_ok,ae_c1,ae_c2,snr_db,p_switch,switched,pred_scalar,pred_fixed,pred_resid
21545621.IV.ASSB..HH,21545621,2,100.0,2409.0,2355.0,0,-0.4263600665008184,0.43684062361717224,stead+ida,-0.2944554158379802,-0.5726391368720058,0.43684062361717224,0.17959877848625183,8.03,2410.0,1.0,-0.6709877390443124,0.3843878507614136,stead,0.2555445841620205,-0.02263913687200514,0.3843878507614136,0.0,8.58,0.244627672543494,False,True,0.54,0.01,8.224,0.30846667289733887,False,2355.0,2355.0,2355.0
21545621.IV.CAMP..HH,21545621,1,100.0,2148.0,2148.0,0,-0.04664288800298899,0.9602655172348022,stead+ida,-0.1773490899139354,0.08952793008365312,0.9602655172348022,0.7593938112258911,3.39,,,,,,,,0.0,0.0,,0.0,True,False,0.0,,10.956,,False,2148.0,2148.0,2148.0
21545621.IV.CESI..HH,21545621,1,100.0,2423.0,2426.0,0,-0.6078631474878757,0.8575229644775391,stead+ida,-0.05189598242655791,0.003908317383651827,0.8575229644775391,0.6069511771202087,6.499999999999997,,,,,,,,0.0,0.0,,0.0,True,False,0.03,,9.64,,False,2426.0,2426.0,2426.0
21545621.IV.CESX..HH,21545621,2,100.0,2800.0,2807.0,0,-0.09991722364995913,0.823064923286438,stead,0.2959172810630015,0.2922920247933396,0.823064923286438,0.0,7.78,2800.0,1.0,-0.4774825176000228,0.3861862123012543,ida,0.22591728106300124,0.22229202479333932,0.0,0.3861862123012543,7.71,0.37756529395006366,True,True,0.07,0.0,7.458,0.7960185408592224,True,2800.0,2807.0,2807.0
21545621.IV.EL6..EH,21545621,1,100.0,2521.0,2634.0,0,-1.3730430416110861,0.8040180206298828,stead+ida,0.8165012655421329,0.8392861711488848,0.8040180206298828,0.5020592212677002,10.66,,,,,,,,0.0,0.0,,0.0,False,False,1.13,,16.757,,False,2634.0,2634.0,2634.0
21545621.IV.FDMO..HH,21545621,2,100.0,2275.0,2268.0,1,-1.3699368398500122,0.47339844703674316,ida,-0.07445654937909829,-0.014404092361795406,0.0,0.47339844703674316,6.06,2279.0,0.0,-1.3863162007097318,0.7281477451324463,stead,0.03554345062090114,0.09559590763820491,0.7281477451324463,0.0,6.17,0.016379360859719583,True,True,0.07,0.04,13.291,0.48552805185317993,False,2268.0,2268.0,2268.0
21545621.IV.FEMA..HN,21545621,2,100.0,2460.0,2460.0,0,-0.6548860268931409,0.5345211029052734,stead+ida,-0.35226726381341855,-0.023270603380997734,0.5345211029052734,0.5098370909690857,5.13,6565.0,1.0,-37.714998172609825,0.17424839735031128,ida,40.69773273618658,41.026729396619004,0.0,0.17424839735031128,46.18,37.06011214571669,True,False,0.0,41.05,8.132,0.0,False,2460.0,2460.0,2460.0
21545621.IV.FIAM..HH,21545621,1,100.0,2497.0,2494.0,0,-0.12076935641093807,0.7875523567199707,stead+ida,-0.05821386162597797,-0.1295357662875869,0.7875523567199707,0.47060829401016235,6.35,,,,,,,,0.0,0.0,,0.0,True,False,0.03,,11.829,,False,2494.0,2494.0,2494.0
21545621.IV.FIAM..HN,21545621,2,100.0,2485.0,2505.0,0,-0.13584877282917904,0.7954694032669067,stead,0.17178613837402068,0.040464233712413034,0.7954694032669067,0.0,6.52,2492.0,1.0,-0.4072929007709735,0.44306138157844543,ida,0.041786138374021675,-0.08953576628758686,0.0,0.44306138157844543,6.39,0.2714441279417945,True,True,0.2,0.07,15.007,0.6584863662719727,True,2492.0,2505.0,2505.0
21545621.IV.GAVE..EH,21545621,2,100.0,2034.0,2036.0,0,-0.047126468086741306,0.9100525379180908,stead,-0.23323492420776049,0.014405565175679591,0.9100525379180908,0.0,4.120000000000002,2029.0,1.0,-0.22696968749449972,0.63512122631073,ida,-0.30323492420776077,-0.055594434824319805,0.0,0.63512122631073,4.0500000000000025,0.1798432194077584,True,True,0.02,0.05,22.62,0.36875978112220764,False,2036.0,2036.0,2036.0
