trace_name,event_id,case_type,quadrant,c1_source,c2_source,c1_resid_s,c2_resid_s,margin_fixed,cand_sep_s,snr_db,ok_scalar,ok_wps
10119071.IV.T1219..HN,10119071,wf_fixes_scalar,Q1,stead+ida,stead+ida,,,0.00014156045071445078,39.21,29.074,False,True
10189651.IV.T1216..HN,10189651,wf_breaks_scalar,Q1,ida,stead,-0.35033702271402234,0.35966297728597496,2.1887217348753403,0.71,37.472,True,False
10303321.IV.MRLC..HN,10303321,wf_breaks_scalar,Q2,stead,ida,0.5496141691234584,-0.28038583087654345,0.5710316478931806,0.83,27.431,True,False
10353631.IV.SMA1..EH,10353631,wf_fixes_scalar,Q1,stead,ida,,,0.4377503837080283,1.05,32.805,False,True
10385651.IV.NRCA..HH,10385651,wf_breaks_scalar,Q2,stead+ida,ida,-0.2015004648085812,0.5984995351914195,7.413484760992164,0.8,32.653,True,False
10385651.IV.NRCA..HN,10385651,wf_breaks_scalar,Q2,stead,ida,-0.18150046480857807,0.6184995351914191,6.935410621530574,0.8,34.314,True,False
10403471.IV.T1219..HN,10403471,wf_fixes_scalar,Q1,stead+ida,stead+ida,,,0.0026291916453757835,35.16,41.839,False,True
10408571.IV.T1215..HN,10408571,wf_fixes_scalar,Q1,stead,stead,,,0.1472133354601297,62.27,21.552,False,True
10408571.IV.T1218..HN,10408571,wf_fixes_scalar,Q2,stead+ida,stead+ida,,,2.0380330542094094e-05,52.02,20.098,False,True
10421181.IV.NRCA..HH,10421181,wf_fixes_scalar,Q2,stead+ida,stead+ida,,,0.08858787968735271,44.14,41.403,False,True
10660881.IV.T1216..HN,10660881,wf_fixes_scalar,Q2,stead+ida,stead+ida,,,0.007291015485954233,65.56,9.731,False,True
10765541.IV.TRIV..HH,10765541,wf_breaks_scalar,Q2,stead+ida,ida,1.0638339616408476,-0.2761660383591522,0.3461671120635594,1.34,17.03,True,False
10768961.IV.CSP1..EH,10768961,wf_breaks_scalar,Q2,stead+ida,stead,,,0.017401162401741777,17.18,2.424,True,False
10768961.IV.T1219..HN,10768961,wf_fixes_scalar,Q1,stead+ida,stead,,,0.3684319575021245,17.66,12.493,False,True
11036421.IV.T1213..HN,11036421,wf_breaks_scalar,Q2,ida,stead,-0.041669615520849135,0.19833038447915285,1.1265450376576336,0.24,18.466,True,False
11466541.IV.RM33..HN,11466541,wf_fixes_scalar,Q1,stead,ida,0.04053327635091719,-0.14946672364908054,0.5104058765425195,0.19,10.735,False,True
12093261.IV.T1214..EH,12093261,wf_fixes_scalar,Q2,stead+ida,stead+ida,,,0.07947592182794239,16.09,14.188,False,True
12120681.IV.GUMA..HN,12120681,wf_fixes_scalar,Q2,stead+ida,stead+ida,-0.24079294066023849,0.7592070593397615,4.0359327465778065,1.0,10.396,False,True
12191161.IV.T1220..HN,12191161,wf_breaks_scalar,Q2,stead,ida,0.27601697229899713,0.36601697229899344,0.8271577505808092,0.09,4.398,True,False
12194351.IV.T1211..HN,12194351,wf_fixes_scalar,Q2,ida,stead,-0.34315109633628893,0.4468489036637102,0.4548857130694932,0.79,0.623,False,True
12332801.IV.T1247..HH,12332801,wf_breaks_scalar,Q2,stead,ida,,,0.3980462294840734,0.07,13.367,True,False
12417891.IV.T1213..EH,12417891,wf_fixes_scalar,Q2,stead+ida,stead,,,0.04718822084152042,16.38,28.796,False,True
12417891.IV.T1213..HN,12417891,wf_fixes_scalar,Q2,stead,stead,,,0.02356643275365629,16.43,21.689,False,True
12417891.IV.T1218..EH,12417891,wf_fixes_scalar,Q1,stead,stead,,,0.0023327552680499006,14.22,34.695,False,True
12417891.IV.T1218..HN,12417891,wf_fixes_scalar,Q2,stead,stead,,,0.028939010429879085,14.3,37.08,False,True
12494431.IV.RNI2..HN,12494431,wf_breaks_scalar,Q1,ida,ida,-0.3632503304724164,0.626749669527582,3.6564663608395547,0.99,12.86,True,False
12623981.IV.GUAR..HH,12623981,wf_breaks_scalar,Q1,stead,ida,0.4286385537585815,1.0486385537585825,0.6544733809213392,0.62,7.648,True,False
12979811.IV.FOSV..HN,12979811,wf_breaks_scalar,Q1,stead+ida,stead,0.6578863887582749,-0.25211361124172527,0.43220199956384253,0.91,4.107,True,False
13093801.IV.T1218..HN,13093801,wf_fixes_scalar,Q2,stead,ida,,,0.08124924483220042,25.62,10.235,False,True
13130851.IV.T1201..HN,13130851,wf_breaks_scalar,Q2,stead,ida,-0.16235415698647238,0.21764584301352663,1.8156726628226343,0.38,22.675,True,False
13314031.IV.VVLD..HH,13314031,wf_breaks_scalar,Q1,stead,ida,-0.7117538684256104,1.138246131574391,2.791550263410741,1.85,27.3,True,False
13579961.IV.T1212..HN,13579961,wf_fixes_scalar,Q1,ida,ida,-0.05714095941679531,0.622859040583208,2.4984711000117192,0.68,7.094,False,True
13647211.IV.T1211..EH,13647211,wf_fixes_scalar,Q1,stead,ida,,,0.33442303055773154,0.21,18.942,False,True
13647211.IV.T1214..EH,13647211,wf_fixes_scalar,Q2,stead+ida,stead,,,0.10492189563928839,45.69,27.741,False,True
13647211.IV.T1214..HN,13647211,wf_fixes_scalar,Q2,stead+ida,stead,,,0.10248563572992489,45.7,12.03,False,True
