comparison,metric,mean,ci95_low,ci95_high,probability_improved,significant,stage,role
fixed_vs_phasenet,delta_f1_0.1,0.014377881918073467,0.011341673758084574,0.017369106282988815,1.0,True,3,test
fixed_vs_phasenet,delta_f1_0.5,0.02252929109623631,0.018611716333149377,0.02649047949286927,1.0,True,3,test
fixed_vs_phasenet,delta_e2e_mae,-1.359687830702162,-1.6207834838583826,-1.1101285739226165,1.0,True,3,test
fixed_vs_phasenet,delta_e2e_p95,-1.069782499999996,-1.7,-0.6249874999999998,1.0,True,3,test
fixed_vs_phasenet,delta_wrong_peak_rate,-0.02749612770399056,-0.03228607772634599,-0.022696256219702022,1.0,True,3,test
learned_gate_vs_phasenet,delta_f1_0.1,0.012718180898565001,0.010028005052412766,0.015499745312609692,1.0,,3,test
learned_gate_vs_phasenet,delta_f1_0.5,0.020403261317676346,0.01674359436582444,0.02400898569376829,1.0,,3,test
learned_gate_vs_phasenet,delta_e2e_mae,-1.3921461645697237,-1.660077526319305,-1.1360818777543202,1.0,,3,test
learned_gate_vs_phasenet,delta_e2e_p95,-1.029688499999996,-1.6600000000000001,-0.5900000000000001,1.0,,3,test
learned_gate_vs_fixed_catalog_rescore,delta_f1_0.1,-0.001659701019508466,-0.0029599810561212205,-0.00046742697610424475,0.0055,,3,test
learned_gate_vs_fixed_catalog_rescore,delta_f1_0.5,-0.002126029778559966,-0.003992455845230625,-0.0003510404475202262,0.01,,3,test
learned_gate_vs_fixed_catalog_rescore,delta_e2e_mae,-0.03245833386756148,-0.0681430961523192,-0.0032304417329761547,0.9895,,3,test
learned_gate_vs_fixed_catalog_rescore,delta_e2e_p95,0.04009400000000004,0.006987500000007181,0.0800249999999998,0.0005,,3,test
