split,metric,analysis,mean,ci95,n_boot,seed
calibration,f1@0.5,exploratory_dev_on_frozen_preds,0.0025843456251237918,"[0.0013276605828455913, 0.004174564415496398]",2000,42
calibration,f1@0.1,exploratory_dev_on_frozen_preds,0.0030342193504759854,"[0.0010831277646808912, 0.005011996054744735]",2000,42
calibration,detected_ae_p95,exploratory_dev_on_frozen_preds,-0.03467800000000005,"[-0.06999999999999995, -0.010000000000000009]",2000,42
calibration,detected_ae_mae,exploratory_dev_on_frozen_preds,-0.4192287189404988,"[-0.5654704057838016, -0.32039106074577556]",2000,42
calibration,frac_err_gt_1s,exploratory_dev_on_frozen_preds,-0.00212072387923236,"[-0.003635968278604136, -0.0009941655821198347]",2000,42
calibration,frac_err_gt_5s,exploratory_dev_on_frozen_preds,-0.003516243314420564,"[-0.005270110232830629, -0.0022485708005950374]",2000,42
heldout_eval,f1@0.5,exploratory_dev_on_frozen_preds,0.001884062949740093,"[0.0007395757238686518, 0.0033060905615708027]",2000,42
heldout_eval,f1@0.1,exploratory_dev_on_frozen_preds,0.0019233013904024247,"[-0.00019340792551330587, 0.004038683030432322]",2000,42
heldout_eval,detected_ae_p95,exploratory_dev_on_frozen_preds,-0.027692499999999974,"[-0.050000000000000044, -0.010000000000000009]",2000,42
heldout_eval,detected_ae_mae,exploratory_dev_on_frozen_preds,-0.3888415919028427,"[-0.4785228266516901, -0.3114507154043198]",2000,42
heldout_eval,frac_err_gt_1s,exploratory_dev_on_frozen_preds,-0.001995007009952882,"[-0.003406650462256823, -0.0009115794904846316]",2000,42
heldout_eval,frac_err_gt_5s,exploratory_dev_on_frozen_preds,-0.002921576144805671,"[-0.004296985845059508, -0.0018087863877736066]",2000,42
fulldev_phaseB,f1@0.5,exploratory_dev_on_frozen_preds,0.0005288784392506857,"[2.327596606949145e-05, 0.0010727522159740903]",1000,42
fulldev_phaseB,f1@0.1,exploratory_dev_on_frozen_preds,0.0021952806730246195,"[0.001079779608683748, 0.0032582196853144863]",1000,42
fulldev_phaseB,detected_ae_p95,exploratory_dev_on_frozen_preds,-0.028139999999999554,"[-0.04006250000000003, -0.010000000000000009]",1000,42
fulldev_phaseB,detected_ae_mae,exploratory_dev_on_frozen_preds,-0.4779115340519408,"[-0.5121639318388814, -0.4409051673155663]",1000,42
fulldev_phaseB,frac_err_gt_1s,exploratory_dev_on_frozen_preds,-0.0004121935336874,"[-0.0007354744757645775, -9.208906144726921e-05]",1000,42
fulldev_phaseB,frac_err_gt_5s,exploratory_dev_on_frozen_preds,-0.003217093591718191,"[-0.0036474073137392647, -0.002818657921092176]",1000,42
